alert_id,date_detected,date_resolved,severity,alert_type,mitre_tactic,detection_source,source_ip,destination_ip,target_system,department,analyst_assigned,status,is_true_positive,resolution_time_hours
ALT-00001,2026-01-04 12:49:25,2026-01-06 00:43:25,Medium,Unauthorized Access,Initial Access,Email Gateway,10.0.2.142,10.0.9.187,VPN Gateway,IT,Faisal Al-Qahtani,Resolved,Yes,35.9
ALT-00002,2026-01-09 14:13:59,,Low,Brute Force Login,Credential Access,Email Gateway,144.29.182.2,10.0.19.119,File Server,Operations,Sara Alzahrani,In Progress,Yes,
ALT-00003,2026-01-10 09:53:36,2026-01-10 10:17:00,Medium,DDoS Traffic,Impact,Email Gateway,10.0.7.118,10.0.9.69,Employee Workstation,Operations,Sara Alzahrani,False Positive,No,0.39
ALT-00004,2026-01-11 12:32:48,2026-01-11 23:11:48,High,Malware Detected,Execution,Proxy Logs,10.0.11.197,10.0.5.140,Employee Workstation,Operations,Nouf Al-Harbi,Escalated,Yes,10.65
ALT-00005,2026-01-12 15:30:27,2026-01-16 11:17:15,Low,Port Scan,Reconnaissance,Email Gateway,143.62.183.86,10.0.21.79,Employee Workstation,Operations,Faisal Al-Qahtani,Resolved,Yes,91.78
ALT-00006,2026-01-14 22:12:07,2026-01-15 00:54:43,High,C2 Communication,Command and Control,EDR Agent,10.0.6.244,10.0.15.247,Web Server 01,IT,Omar Al-Dosari,False Positive,No,2.71
ALT-00007,2026-01-15 16:29:53,2026-01-15 19:20:53,High,Phishing Email,Initial Access,Proxy Logs,10.0.15.178,10.0.10.223,Finance ERP App,Finance,Sara Alzahrani,Resolved,Yes,2.85
ALT-00008,2026-01-17 11:49:08,2026-01-17 12:25:44,High,Brute Force Login,Credential Access,Elastic SIEM,10.0.22.60,10.0.16.145,Employee Workstation,Operations,Omar Al-Dosari,False Positive,No,0.61
ALT-00009,2026-01-18 10:42:08,,High,Malware Detected,Execution,Firewall/IDS,114.127.214.181,10.0.14.48,POS Terminal,Sales,Sara Alzahrani,In Progress,Yes,
ALT-00010,2026-01-19 02:05:21,2026-01-19 05:47:57,Medium,Unauthorized Access,Initial Access,EDR Agent,58.29.151.108,10.0.12.228,Web Server 01,IT,Sara Alzahrani,Resolved,Yes,3.71
ALT-00011,2026-01-19 11:21:14,2026-01-21 21:21:14,Low,Port Scan,Reconnaissance,Proxy Logs,28.71.78.251,10.0.30.86,VPN Gateway,IT,Lama Al-Ghamdi,Resolved,Yes,58.0
ALT-00012,2026-01-21 13:24:58,2026-01-21 15:46:34,Critical,Malware Detected,Execution,Email Gateway,101.138.39.147,10.0.11.32,Email Gateway,IT,Omar Al-Dosari,Resolved,Yes,2.36
ALT-00013,2026-01-23 12:52:50,2026-01-23 19:46:14,Medium,Malicious Macro,Execution,Email Gateway,177.112.32.206,10.0.6.111,Web Server 01,IT,Sara Alzahrani,Escalated,Yes,6.89
ALT-00014,2026-01-23 18:07:25,2026-01-23 18:40:25,Critical,C2 Communication,Command and Control,Email Gateway,83.80.255.24,10.0.21.160,Email Gateway,IT,Omar Al-Dosari,False Positive,No,0.55
ALT-00015,2026-01-25 08:24:26,2026-01-26 08:26:50,Medium,Policy Violation,N/A,Wireshark,184.26.155.29,10.0.8.95,File Server,Operations,Faisal Al-Qahtani,Resolved,Yes,24.04
ALT-00016,2026-01-28 18:28:51,,Critical,Malware Detected,Execution,Elastic SIEM,10.0.29.148,10.0.13.212,HR Portal,HR,Sara Alzahrani,In Progress,Yes,
ALT-00017,2026-01-28 22:52:17,2026-01-30 21:13:17,Low,Policy Violation,N/A,Email Gateway,10.0.8.95,10.0.28.151,Executive Laptop,Executive,Faisal Al-Qahtani,Resolved,Yes,46.35
ALT-00018,2026-01-29 08:05:04,2026-01-29 13:24:52,High,Phishing Email,Initial Access,Email Gateway,10.0.12.117,10.0.20.105,Finance ERP App,Finance,Sara Alzahrani,Resolved,Yes,5.33
ALT-00019,2026-01-29 13:39:52,2026-01-29 21:45:52,High,Data Exfiltration Attempt,Exfiltration,Elastic SIEM,41.57.27.63,10.0.30.160,Database Server (SQL),IT,Faisal Al-Qahtani,Resolved,Yes,8.1
ALT-00020,2026-01-30 11:37:20,2026-01-31 02:47:32,High,Phishing Email,Initial Access,Wireshark,112.55.231.129,10.0.7.244,Email Gateway,IT,Omar Al-Dosari,Resolved,Yes,15.17
